Ticker,RMSE,MAE,MAPE (%),Correlation,Hit Ratio
ADANIENT.NS,1.2598550648087756,0.9090774774774775,34.14563260041463,0.824898773933221,0.44545454545454544
ADANIPORTS.NS,1.0003321168762174,0.7414567567567567,30.406505618656183,0.8497612947356129,0.4
APOLLOHOSP.NS,0.398476964643317,0.3489153153153152,23.990351916079703,0.4871756683601949,0.5454545454545454
ASIANPAINT.NS,0.1769268798425237,0.15556306306306308,15.851850089357814,0.3262773608215857,0.5272727272727272
AXISBANK.NS,0.20908008703076628,0.1789774774774775,15.11819697034846,0.5065406599777881,0.4727272727272727
BAJAJ-AUTO.NS,0.35847786643071944,0.2848288288288288,19.175760988582365,0.6005754764697685,0.4909090909090909
BAJAJFINSV.NS,0.25135788938992654,0.1977288288288288,16.428564538167407,0.2816422696744168,0.4636363636363636
BAJFINANCE.NS,0.2513080183561402,0.19534324324324323,13.929688491900057,0.51002956512548,0.5272727272727272
BHARTIARTL.NS,0.12336716385293582,0.10151351351351354,10.9569950662208,0.3886696335105422,0.43636363636363634
BPCL.NS,0.3907144422790196,0.31896126126126123,19.488282587374727,0.6127786301979453,0.4818181818181818
BRITANNIA.NS,0.1571139103033554,0.11973963963963966,11.995767928514846,0.7630571996172563,0.5909090909090909
CIPLA.NS,0.6243541367028955,0.5071360360360361,28.742478776883324,0.8824739007741679,0.5454545454545454
COALINDIA.NS,0.6868192015265631,0.6044963963963963,33.453023812796715,0.4338671165905961,0.5545454545454546
DIVISLAB.NS,0.31064818271385947,0.27100990990990986,20.274663492230204,0.5931261131574829,0.5363636363636364
DRREDDY.NS,0.23292782240524734,0.19523063063063067,15.7606455745398,0.6459604035085609,0.5818181818181818
EICHERMOT.NS,0.46070225860210523,0.32086936936936933,17.969807675502,0.8065059909079982,0.5272727272727272
GRASIM.NS,0.3077100751687542,0.2457882882882883,26.96243053697246,0.36643141107706945,0.5636363636363636
HCLTECH.NS,0.1990746910398522,0.1563693693693694,12.045345468818743,0.7779662063981365,0.5363636363636364
HDFCBANK.NS,0.2037101203994371,0.19029189189189186,21.865726815394197,0.6103053379521475,0.5181818181818182
HDFCLIFE.NS,0.2501606878183096,0.18175675675675676,13.21595263976419,0.8732638272001594,0.5272727272727272
HEROMOTOCO.NS,0.4459383798784857,0.408845945945946,25.00986542727917,0.686332250676448,0.509090909090909
HINDALCO.NS,0.3330448594084262,0.27773513513513515,17.27455111299734,-0.07991746354811233,0.4727272727272727
HINDUNILVR.NS,0.12808963042894386,0.10781711711711711,13.051519637110367,0.7435196559220979,0.5
ICICIBANK.NS,0.31110854179011993,0.28559189189189194,34.42421958077853,0.8177342812385773,0.5272727272727272
INFY.NS,0.4461366971260294,0.26452882882882883,14.883998541229627,0.8602085406671518,0.509090909090909
ITC.NS,0.18675035921429084,0.14742252252252253,14.428013454277904,0.6948874605335219,0.5454545454545454
JSWSTEEL.NS,0.18253888762533724,0.1377288288288288,11.685281098466591,-0.03392015728786383,0.4636363636363636
KOTAKBANK.NS,0.17686057215213902,0.15406306306306308,18.31368817642171,0.746466340481775,0.5818181818181818
LT.NS,0.15107233009032103,0.1239036036036036,10.670020733602108,0.5771162244230904,0.5636363636363636
LTIM.NS,0.4036149081167023,0.3348198198198199,22.428512411593328,0.8052733769427308,0.5363636363636364
M&M.NS,0.37745025732771303,0.30027027027027015,17.90143223125359,0.4790921160472352,0.5818181818181818
MARUTI.NS,0.29887802899546867,0.24406486486486487,32.174256958523806,0.04629293228607837,0.5272727272727272
NESTLEIND.NS,0.22243148089623843,0.16567297297297293,15.755300059101533,0.7267036188648283,0.4636363636363636
NTPC.NS,0.3700154366149247,0.3147846846846846,19.170032253623344,0.7614809143245138,0.5272727272727272
ONGC.NS,0.20428799094230488,0.1734990990990991,13.032647257044538,0.6714935175234101,0.5181818181818182
POWERGRID.NS,0.49699772028044953,0.409372072072072,24.71198436881917,0.8112303823236019,0.5636363636363636
RELIANCE.NS,0.2603686449272671,0.22381531531531532,24.65288737297177,0.3987362805655888,0.5909090909090909
SBILIFE.NS,0.2956150988475836,0.2503171171171171,20.206138069115177,0.23410101345353346,0.5272727272727272
SBIN.NS,0.12118821152493593,0.10094864864864866,8.955433986583957,0.7886677531770386,0.5
SUNPHARMA.NS,0.19752317163647748,0.15684594594594592,18.063568788638626,0.36351457489424954,0.4818181818181818
TATACONSUM.NS,0.2767663620984118,0.20893423423423427,22.80532823391271,-0.1311722231117603,0.4636363636363636
TATAMOTORS.NS,0.1873613159184753,0.15633153153153148,11.609074091260727,0.4349827815126431,0.5
TATASTEEL.NS,0.23517605557776736,0.1954288288288288,16.6828010501366,0.00032954093286626624,0.4818181818181818
TCS.NS,0.15052822518244405,0.11458288288288289,9.830043073910973,0.9103471671931798,0.5
TECHM.NS,0.31734263873668217,0.2670045045045045,17.915758560924303,0.7200159364121529,0.5
TITAN.NS,0.14672014145954845,0.11469099099099099,11.236576736427203,0.38405557720714883,0.5
ULTRACEMCO.NS,0.1634978854865058,0.13827747747747748,12.530512133494284,0.625885397082092,0.6
UPL.NS,0.2463753155779331,0.19965495495495497,15.370186291486498,0.24488420211214168,0.4727272727272727
WIPRO.NS,0.20686453068144392,0.16131891891891892,12.253790945965196,0.6789790734221727,0.5272727272727272
